year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12 ## the number of births each month
1991,32213,30345,34869,35398,36371,34378,35436,34421,34410,33092,30766,32117
1992,31982,31572,34972,35265,36096,33832,35260,32970,33709,32188,30165,31098
1993,31031,29601,34339,34196,34857,33497,34008,32768,33224,31336,29582,30598
1994,30310,29242,34155,33228,34576,33707,33758,33019,32711,31037,29982,30518
1995,30006,29076,33448,31765,34593,33055,33339,32814,32608,30807,28770,28404
1996,29435,28843,31816,31834,33150,31368,32493,31334,30928,29944,27384,28304
1997,28473,26621,30096,30737,31834,30077,31114,29321,29322,28336,26334,27278
1998,27246,26484,29821,30314,30877,29399,30329,28998,29703,27940,25461,26394
1999,26996,25691,29330,28592,30051,29387,30227,28444,29254,27257,25708,26884
2000,27288,26245,29277,28257,29881,28820,28606,27802,26954,25899,24968,24599
2001,26823,25447,29261,28894,29970,28638,29169,28874,28327,27713,25892,25607
2002,26853,24814,27901,27739,28892,27350,29099,28798,28997,27968,25921,25562
2003,26360,24980,28198,27932,29505,28320,30400,29093,29662,28947,26206,26749
2004,27145,25815,29041,28538,28870,28885,29655,29257,29588,28283,26871,27064
2005,27338,25123,29503,29139,30032,29980,30464,30353,30398,28956,27163,26916
2006,28247,26253,29800,28917,31264,30431,31155,32134,31903,30695,28742,28380
2007,29272,27121,30555,30187,31986,31805,32613,33191,32301,31974,29925,29439
2008,30494,29391,31221,31517,32930,31996,34205,33249,34108,32856,29721,30172
2009,30667,28544,32266,31788,33119,32562,34623,33558,34105,33101,30242,30076
2010,30504,27878,32434,31607,32084,31947,32896,32896,33554,32692,30308,30391
2011,30367,28096,31450,30869,32640,32506,33823,33677,33569,32040,30527,29680
2012,30697,29262,31464,31010,32826,31760,33632,34548,33351,33071,31160,30320
2013,31165,28536,31322,30818,32951,31735,34087,33832,33126,32687,30045,30750
2014,31332,28505,31689,31109,33510,32205,34874,33848,33892,32880,30432,30301
2015,31032,28342,31415,31600,32677,32546,34697,33521,33688,32510,30387,30564
2016,30629,29365,32158,31664,32708,32409,34233,34429,34093,32140,30246,29949
2017,30349,28305,31351,30701,32359,32176,33595,33735,32875,31984,30410,29787
2018,30516,27677,31131,30404,32844,31773,33270,33626,32394,31730,29923,29329
2019,30165,27473,30689,30441,32214,31596,33965,33454,32446,31667,29558,29310
2020,30186,27899,30588,30119,31320,30406,32435,31434,31065,30097,27777,27475
2021,27692,27358,31633,30311,32180,32410,33610,32917,32753,31231,29430,28630
2022,28557,26246,28785,28473,30371,30108,31322,31706,30472,29671,28428,27540
